match_id,wc_year,match_date,stage,team,opponent,home_away,scorer,goal_minute_raw,goal_minute_numeric,is_stoppage_time,goal_order_for_team
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Álvaro Morata,90+2,92,True,6
2022-0093,2022,2022-11-23,Group stage,Spain,Costa Rica,Home,Ferrán Torres,31,31,False,7
2022-0094,2022,2022-11-23,Group stage,Belgium,Canada,Home,Michy Batshuayi,44,44,False,1
2022-0095,2022,2022-11-22,Group stage,Argentina,Saudi Arabia,Home,Lionel Messi,10,10,False,1
2022-0095,2022,2022-11-22,Group stage,Saudi Arabia,Argentina,Away,Saleh Al-Shehri,48,48,False,1
2022-0095,2022,2022-11-22,Group stage,Saudi Arabia,Argentina,Away,Salem Al-Dawsari,53,53,False,2
2022-0098,2022,2022-11-22,Group stage,France,Australia,Home,Adrien Rabiot,27,27,False,1
2022-0098,2022,2022-11-22,Group stage,France,Australia,Home,Olivier Giroud,32,32,False,2
2022-0098,2022,2022-11-22,Group stage,France,Australia,Home,Kylian Mbappé,68,68,False,3
2022-0098,2022,2022-11-22,Group stage,France,Australia,Home,Olivier Giroud,71,71,False,4
2022-0098,2022,2022-11-22,Group stage,Australia,France,Away,Craig Goodwin,9,9,False,1
2022-0099,2022,2022-11-21,Group stage,England,IR Iran,Home,Jude Bellingham,35,35,False,1
2022-0099,2022,2022-11-21,Group stage,England,IR Iran,Home,Bukayo Saka,43,43,False,2
2022-0099,2022,2022-11-21,Group stage,England,IR Iran,Home,Raheem Sterling,45+1,46,True,3
2022-0099,2022,2022-11-21,Group stage,England,IR Iran,Home,Bukayo Saka,62,62,False,4
2022-0099,2022,2022-11-21,Group stage,England,IR Iran,Home,Marcus Rashford,71,71,False,5
2022-0099,2022,2022-11-21,Group stage,England,IR Iran,Home,Jack Grealish,90,90,False,6
2022-0099,2022,2022-11-21,Group stage,IR Iran,England,Away,Mehdi Taremi,65,65,False,1
2022-0099,2022,2022-11-21,Group stage,IR Iran,England,Away,Mehdi Taremi,90+13,103,True,2
2022-0100,2022,2022-11-21,Group stage,Netherlands,Senegal,Away,Cody Gakpo,84,84,False,1
2022-0100,2022,2022-11-21,Group stage,Netherlands,Senegal,Away,Davy Klaassen,90+9,99,True,2
2022-0101,2022,2022-11-21,Group stage,United States,Wales,Home,Timothy Weah,36,36,False,1
2022-0101,2022,2022-11-21,Group stage,Wales,United States,Away,Gareth Bale,82,82,False,1
2022-0102,2022,2022-11-20,Group stage,Ecuador,Qatar,Away,Enner Valencia,31,31,False,1
2022-0102,2022,2022-11-20,Group stage,Ecuador,Qatar,Away,Enner Valencia,16,16,False,2
2018-0103,2018,2018-07-15,Final,France,Croatia,Home,Paul Pogba,59,59,False,1
2018-0103,2018,2018-07-15,Final,France,Croatia,Home,Kylian Mbappé,65,65,False,2
2018-0103,2018,2018-07-15,Final,France,Croatia,Home,Antoine Griezmann,38,38,False,3
2018-0103,2018,2018-07-15,Final,Croatia,France,Away,Ivan Periši,28,28,False,1
2018-0103,2018,2018-07-15,Final,Croatia,France,Away,Mario Mandžuki,69,69,False,2
2018-0104,2018,2018-07-14,Third-place match,Belgium,England,Home,Thomas Meunier,4,4,False,1
2018-0104,2018,2018-07-14,Third-place match,Belgium,England,Home,Eden Hazard,82,82,False,2
2018-0105,2018,2018-07-11,Semi-finals,Croatia,England,Home,Ivan Periši,68,68,False,1
2018-0105,2018,2018-07-11,Semi-finals,Croatia,England,Home,Mario Mandžuki,109,109,False,2
2018-0105,2018,2018-07-11,Semi-finals,England,Croatia,Away,Kieran Trippier,5,5,False,1
2018-0106,2018,2018-07-10,Semi-finals,France,Belgium,Home,Samuel Umtiti,51,51,False,1
2018-0107,2018,2018-07-07,Quarter-finals,England,Sweden,Away,Harry Maguire,30,30,False,1
2018-0107,2018,2018-07-07,Quarter-finals,England,Sweden,Away,Dele Alli,59,59,False,2
2018-0108,2018,2018-07-07,Quarter-finals,Russia,Croatia,Home,Denis Cheryshev,31,31,False,1
2018-0108,2018,2018-07-07,Quarter-finals,Russia,Croatia,Home,Mário Fernandes,115,115,False,2
2018-0108,2018,2018-07-07,Quarter-finals,Croatia,Russia,Away,Andrej Kramaric,39,39,False,1
2018-0108,2018,2018-07-07,Quarter-finals,Croatia,Russia,Away,Domagoj Vida,101,101,False,2
2018-0109,2018,2018-07-06,Quarter-finals,France,Uruguay,Away,Raphaël Varane,40,40,False,1
2018-0109,2018,2018-07-06,Quarter-finals,France,Uruguay,Away,Antoine Griezmann,61,61,False,2
2018-0110,2018,2018-07-06,Quarter-finals,Brazil,Belgium,Home,Renato Augusto,76,76,False,1
2018-0110,2018,2018-07-06,Quarter-finals,Belgium,Brazil,Away,Kevin De Bruyne,32,32,False,1
2018-0111,2018,2018-07-03,Round of 16,Sweden,Switzerland,Home,Emil Forsberg,66,66,False,1
2018-0112,2018,2018-07-03,Round of 16,Colombia,England,Home,Yerry Mina,90+3,93,True,1
2018-0112,2018,2018-07-03,Round of 16,England,Colombia,Away,Harry Kane,57,57,False,1
2018-0113,2018,2018-07-02,Round of 16,Brazil,Mexico,Home,Neymar,51,51,False,1
2018-0113,2018,2018-07-02,Round of 16,Brazil,Mexico,Home,Roberto Firmino,88,88,False,2
2018-0114,2018,2018-07-02,Round of 16,Belgium,Japan,Home,Jan Vertonghen,69,69,False,1
2018-0114,2018,2018-07-02,Round of 16,Belgium,Japan,Home,Marouane Fellaini,74,74,False,2
2018-0114,2018,2018-07-02,Round of 16,Belgium,Japan,Home,Nacer Chadli,90+4,94,True,3
2018-0114,2018,2018-07-02,Round of 16,Japan,Belgium,Away,Genki Haraguchi,48,48,False,1
2018-0114,2018,2018-07-02,Round of 16,Japan,Belgium,Away,Takashi Inui,52,52,False,2
2006-0115,2006,2006-06-14,Group stage,Spain,Ukraine,Home,Xabi Alonso,13,13,False,1
2006-0115,2006,2006-06-14,Group stage,Spain,Ukraine,Home,David Villa,17,17,False,2
2006-0115,2006,2006-06-14,Group stage,Spain,Ukraine,Home,Fernando Torres,81,81,False,3
2006-0115,2006,2006-06-14,Group stage,Spain,Ukraine,Home,David Villa,48,48,False,4
