home_team,away_team,home_score,home_penalties,away_score,away_penalties,attendance,venue,stage,match_date,host_country,wc_year,home_goal_scorers,away_goal_scorers,home_og_scored,away_og_scored,match_id,total_goals,scoreline,goal_difference,went_to_penalties,stage_group,decade,venue_name,venue_city,winner,result_type
Northern Ireland,Czechoslovakia,1,0,0,0,10647,"Orjans Vall, Halmstad",Group stage,1958-06-08,Sweden,1958,Wilbur Cush@20,,0,0,1958-0800,1,1-0,1,False,Group,1950s,Orjans Vall,Halmstad,Northern Ireland,Home win
Hungary,Wales,1,0,1,0,15343,"Jarnvallen, Sandviken",Group stage,1958-06-08,Sweden,1958,József Bozsik@5,John Charles@27,0,0,1958-0801,2,1-1,0,False,Group,1950s,Jarnvallen,Sandviken,Draw,Draw
Yugoslavia,Scotland,1,0,1,0,9591,"Arosvallen, Vasteras",Group stage,1958-06-08,Sweden,1958,Aleksandar Petakovi@6,Jimmy Murray@49,0,0,1958-0802,2,1-1,0,False,Group,1950s,Arosvallen,Vasteras,Draw,Draw
Brazil,Austria,3,0,0,0,17788,"Rimnersvallen, Udevalla",Group stage,1958-06-08,Sweden,1958,"José Altafini@38,Nílton Santos@49,José Altafini@89",,0,0,1958-0803,3,3-0,3,False,Group,1950s,Rimnersvallen,Udevalla,Brazil,Home win
Soviet Union,England,2,0,2,0,49348,"Nya Ullevi, Gothenburg",Group stage,1958-06-08,Sweden,1958,"Nikita Simonyan@13,Aleksandr Ivanov@55","Derek Kevan@66,Tom Finney@85",0,0,1958-0804,4,2-2,0,False,Group,1950s,Nya Ullevi,Gothenburg,Draw,Draw
France,Paraguay,7,0,3,0,16518,"Idrottsparken, Norrkï¿½Ping",Group stage,1958-06-08,Sweden,1958,"Just Fontaine@24,Just Fontaine@30,Roger Piantoni@52,Maryan Wisnieski@61,Just Fontaine@67,Raymond Kopa@70,Jean Vincent@83","Florencio Amarilla@20,Jorge Lino Romero@50,Florencio Amarilla@44",0,0,1958-0805,10,7-3,4,False,Group,1950s,Idrottsparken,Norrkï¿½Ping,France,Home win
Argentina,West Germany,1,0,3,0,31156,"Malmo Stadion, Malmï¿½",Group stage,1958-06-08,Sweden,1958,Oreste Corbatta@2,"Helmut Rahn@32,Uwe Seeler@40,Helmut Rahn@79",0,0,1958-0806,4,1-3,2,False,Group,1950s,Malmo Stadion,Malmï¿½,West Germany,Away win
Germany,Hungary,3,0,2,0,62500,"Wankdorf Stadium, Berne",Final,1954-07-04,Switzerland,1954,"Max Morlock@10,Helmut Rahn@18,Helmut Rahn@84","Ferenc Puskás@6,Zoltán Czibor@8",0,0,1954-0807,5,3-2,1,False,Final,1950s,Wankdorf Stadium,Berne,Germany,Home win
Austria,Uruguay,3,0,1,0,32000,"Hardturm, Zurich",Third-place match,1954-07-03,Switzerland,1954,"Ernst Ocwirk@79,Ernst Stojaspal@16",Juan Hohberg@22,1,0,1954-0808,4,3-1,2,False,Placement,1950s,Hardturm,Zurich,Austria,Home win
Hungary,Uruguay,4,0,2,0,45000,"La Pontaise, Lausanne",Semi-finals,1954-06-30,Switzerland,1954,"Zoltán Czibor@12,Nándor Hidegkuti@47,Sándor Kocsis@109,Sándor Kocsis@116","Juan Hohberg@75,Juan Hohberg@86",0,0,1954-0809,6,4-2,2,False,Knockout,1950s,La Pontaise,Lausanne,Hungary,Home win
Germany,Austria,6,0,1,0,58000,"St. Jakob, Basel",Semi-finals,1954-06-30,Switzerland,1954,"Hans Schäfer@31,Max Morlock@47,Ottmar Walter@61,Ottmar Walter@89,Fritz Walter@54,Fritz Walter@64",Erich Probst@51,0,0,1954-0810,7,6-1,5,False,Knockout,1950s,St. Jakob,Basel,Germany,Home win
Germany,Yugoslavia,2,0,0,0,17000,"Charmilles, Geneva",Quarter-finals,1954-06-27,Switzerland,1954,Helmut Rahn@85,,1,0,1954-0811,2,2-0,2,False,Knockout,1950s,Charmilles,Geneva,Germany,Home win
